City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Ushuaia,AR,46.06,moderate rain,-54.8,-68.3,Albatross Hotel
1,Fairbanks,US,41.0,clear sky,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
2,Floriano,BR,77.4,overcast clouds,-6.7669,-43.0225,Hotel Maktub
3,Bambous Virieux,MU,75.22,light rain,-20.3428,57.7575,Casa Tia Villa
4,Jamestown,US,37.53,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
6,Buin,CL,71.87,clear sky,-33.7333,-70.75,Paihuen
7,Milkovo,RU,35.19,scattered clouds,54.7167,158.6167,"Hotel ""Geologist"""
8,Ahipara,NZ,69.58,light rain,-35.1667,173.1667,Ahipara Holiday Park
9,Kapaa,US,82.38,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
10,Lazaro Cardenas,MX,79.18,overcast clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
11,Saint George,US,85.62,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
13,Narsaq,GL,34.02,broken clouds,60.9167,-46.05,Sleep In Narsaq
14,Malibu,US,80.51,few clouds,34.005,-118.8101,Malibu Country Inn
15,Atuona,PF,79.79,clear sky,-9.8,-139.0333,Villa Enata
16,Guerrero Negro,MX,65.05,overcast clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
17,Barrow,US,6.82,clear sky,71.2906,-156.7887,King Eider Inn
18,Port Alfred,ZA,60.19,few clouds,-33.5906,26.891,The Halyards Hotel
19,Loukhi,RU,29.5,broken clouds,66.0764,33.0381,Хостел Северяночка
20,Lasa,IT,39.69,clear sky,46.6166,10.7002,Pension Feldgärtenhof
21,Bethel,US,44.96,few clouds,41.3712,-73.414,Courtyard by Marriott Danbury
22,Hobart,AU,56.23,broken clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
23,Georgiyevka,KZ,48.24,mist,43.0369,74.7114,Gostinitsa Imperiya
24,Rikitea,PF,78.55,clear sky,-23.1203,-134.9692,People ThankYou
25,Yellowknife,CA,19.56,overcast clouds,62.456,-114.3525,The Explorer Hotel
26,Olga,RU,49.46,overcast clouds,43.7444,135.2892,Gostinitsa Rosmorport.
27,Punta Umbria,ES,66.24,overcast clouds,37.1821,-6.9661,Barceló Punta Umbría Beach Resort
28,Lorengau,PG,83.37,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
29,Shitanjing,CN,41.11,clear sky,39.2342,106.3439,Yingbin Hotel
30,Husavik,IS,39.04,light rain,66.0449,-17.3389,Bjarnabúð
31,Khorramshahr,IR,69.75,clear sky,30.4397,48.1664,دفتر نمایندگی شرکت بازاریابان ایرانیان زمینBIZ
32,Coahuayana,MX,81.21,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
34,Severnoye,RU,33.01,scattered clouds,56.3491,78.3619,Gostinitsa Severyanka
35,Marsh Harbour,BS,76.37,scattered clouds,26.5412,-77.0636,Abaco Beach Resort
36,Punta Arenas,CL,46.11,broken clouds,-53.15,-70.9167,Hotel Hain
37,Bluff,NZ,60.8,few clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
38,Falmouth,GB,49.1,few clouds,50.1544,-5.0711,The Falmouth Hotel
39,Cidreira,BR,67.35,overcast clouds,-30.1811,-50.2056,Hotel Castelo
40,Tiarei,PF,86.02,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
41,Laguna,US,74.95,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
42,Aki,JP,64.89,overcast clouds,33.5,133.9,Seigetsu Ryokan
43,Coquimbo,CL,59.7,clear sky,-29.9533,-71.3436,Hotel San Juan
44,Nikolskoye,RU,39.7,overcast clouds,59.7035,30.7861,Tourist House - Sablino
45,Puerto Ayora,EC,74.41,light rain,-0.7393,-90.3518,Finch Bay Galapagos Hotel
46,Elizabeth City,US,55.02,clear sky,36.2946,-76.2511,Hampton Inn Elizabeth City
47,Kahului,US,84.22,few clouds,20.8947,-156.47,Maui Seaside Hotel
