City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Ushuaia,AR,-54.8,-68.3,46.06,93,100,14.97,moderate rain
1,Fairbanks,US,64.8378,-147.7164,41.0,26,0,5.75,clear sky
2,Floriano,BR,-6.7669,-43.0225,77.4,84,98,3.94,overcast clouds
3,Bambous Virieux,MU,-20.3428,57.7575,75.22,87,30,11.05,light rain
4,Jamestown,US,42.097,-79.2353,37.53,55,0,6.91,clear sky
5,Gobabis,NA,-22.45,18.9667,64.33,68,63,7.02,broken clouds
6,Buin,CL,-33.7333,-70.75,71.87,60,5,2.64,clear sky
7,Milkovo,RU,54.7167,158.6167,35.19,57,50,4.61,scattered clouds
8,Ahipara,NZ,-35.1667,173.1667,69.58,91,95,13.04,light rain
9,Kapaa,US,22.0752,-159.319,82.38,83,75,19.57,broken clouds
10,Lazaro Cardenas,MX,17.9583,-102.2,79.18,58,100,5.75,overcast clouds
11,Saint George,US,37.1041,-113.5841,85.62,10,0,11.5,clear sky
12,Airai,TL,-8.9266,125.4092,68.5,71,70,1.9,broken clouds
13,Narsaq,GL,60.9167,-46.05,34.02,91,81,3.51,broken clouds
14,Malibu,US,34.005,-118.8101,80.51,75,19,10.0,few clouds
15,Atuona,PF,-9.8,-139.0333,79.79,79,7,16.75,clear sky
16,Guerrero Negro,MX,27.9769,-114.0611,65.05,65,85,19.04,overcast clouds
17,Barrow,US,71.2906,-156.7887,6.82,78,0,9.22,clear sky
18,Port Alfred,ZA,-33.5906,26.891,60.19,94,16,3.0,few clouds
19,Loukhi,RU,66.0764,33.0381,29.5,97,59,1.21,broken clouds
20,Lasa,IT,46.6166,10.7002,39.69,74,5,2.48,clear sky
21,Bethel,US,41.3712,-73.414,44.96,44,20,5.75,few clouds
22,Hobart,AU,-42.8794,147.3294,56.23,88,75,1.01,broken clouds
23,Georgiyevka,KZ,43.0369,74.7114,48.24,87,30,6.71,mist
24,Rikitea,PF,-23.1203,-134.9692,78.55,63,3,11.43,clear sky
25,Yellowknife,CA,62.456,-114.3525,19.56,48,98,8.01,overcast clouds
26,Olga,RU,43.7444,135.2892,49.46,39,86,8.08,overcast clouds
27,Punta Umbria,ES,37.1821,-6.9661,66.24,50,99,10.87,overcast clouds
28,Lorengau,PG,-2.0226,147.2712,83.37,78,56,7.09,broken clouds
29,Shitanjing,CN,39.2342,106.3439,41.11,46,1,5.14,clear sky
30,Husavik,IS,66.0449,-17.3389,39.04,98,100,5.23,light rain
31,Khorramshahr,IR,30.4397,48.1664,69.75,18,1,13.62,clear sky
32,Coahuayana,MX,18.7333,-103.6833,81.21,63,78,5.1,broken clouds
33,Albany,US,42.6001,-73.9662,42.64,58,59,5.01,broken clouds
34,Severnoye,RU,56.3491,78.3619,33.01,90,26,5.19,scattered clouds
35,Marsh Harbour,BS,26.5412,-77.0636,76.37,80,42,11.74,scattered clouds
36,Punta Arenas,CL,-53.15,-70.9167,46.11,93,75,8.05,broken clouds
37,Bluff,NZ,-46.6,168.3333,60.8,67,11,5.39,few clouds
38,Falmouth,GB,50.1544,-5.0711,49.1,83,14,10.78,few clouds
